0.0141751,0.0192526,0.0389796,0.0647533,0.0908331,0.129342,0.199741,0.297378,0.402773,0.499415,0.587245,0.657048,0.705346,0.765544,0.890668,1.03576,1.12188,1.14552,1.15668,1.17507,1.20723,1.27177,1.30413,1.27323,1.21564,1.21453,1.247,1.26174,1.23202,1.18038,1.14972,1.17381,1.25031,1.31703,1.34789,1.39446,1.51319,1.7268,1.98169,2.22509,2.37059,2.39923,2.31227,2.17887,2.02055,1.80789,1.50647,1.17976,0.896747,0.669524,0.469007,0.312994,0.215161,0.170011,0.138374,0.106642,0.0740475,0.0516918,0.0343114,0.021998
0.0987757,0.130668,0.221448,0.351171,0.519108,0.750517,1.09376,1.54479,2.0512,2.57078,3.08022,3.5987,4.10165,4.68123,5.43514,6.20329,6.67393,6.82204,6.86364,6.8893,6.90437,6.96344,6.9755,6.89805,6.77666,6.74213,6.724,6.68855,6.61249,6.49544,6.35848,6.32666,6.51294,6.81866,7.13315,7.58892,8.47088,9.84195,11.295,12.4706,13.1327,13.2824,12.848,12.0783,11.0659,9.82256,8.27257,6.65968,5.16643,3.89115,2.78982,1.92687,1.3377,1.01166,0.798479,0.597835,0.396168,0.248706,0.159828,0.112794
0.316744,0.406754,0.605696,0.903535,1.36249,2.00186,2.85343,3.91797,5.16217,6.51221,7.87565,9.34984,10.9578,12.7687,14.7468,16.5463,17.6927,18.1482,18.3277,18.3407,18.1863,17.9878,17.8018,17.5805,17.2891,17.0778,16.9017,16.7914,16.695,16.5656,16.3643,16.301,16.5997,17.2218,18.0944,19.5406,22.1569,25.9149,29.6915,32.5554,34.1665,34.6396,33.7191,31.7032,28.7029,25.0985,21.1222,17.2797,13.613,10.296,7.42328,5.20258,3.62827,2.6703,2.04604,1.51064,0.999609,0.628364,0.421656,0.321723
0.599407,0.767161,1.05923,1.49964,2.28047,3.4127,4.83476,6.53583,8.57204,10.8592,13.2107,15.8331,18.8684,22.2156,25.465,28.1172,29.8413,30.7112,31.2342,31.3236,30.8319,30.0018,29.3694,28.9495,28.4498,27.9363,27.5197,27.3004,27.1523,27.0415,26.9243,26.9732,27.3647,28.2448,29.8113,32.5895,37.2668,43.6012,49.8575,54.5657,57.2427,58.0769,56.7222,53.3568,47.9922,41.5244,34.8513,28.7335,22.8635,17.3808,12.6188,8.95102,6.27643,4.52791,3.37386,2.4672,1.65536,1.06048,0.725438,0.572618
0.803472,1.04877,1.39821,1.89881,2.85811,4.31164,6.1042,8.18022,10.6824,13.5548,16.5768,19.9541,23.8885,28.1247,32.0007,34.9457,36.8937,38.1085,39.0787,39.4137,38.7296,37.4013,36.3959,35.7366,34.9244,34.0821,33.5101,33.1613,32.8542,32.7567,32.9025,33.1841,33.6057,34.5901,36.6918,40.5415,46.5051,54.1403,61.6688,67.5473,70.9801,72.0078,70.3965,66.2172,59.4176,51.157,42.819,35.3113,28.1723,21.4643,15.6297,11.1817,7.93207,5.70884,4.16251,3.00206,2.03849,1.33922,0.920568,0.737063
0.866302,1.184,1.58743,2.10433,3.07555,4.56878,6.44106,8.61345,11.2489,14.3326,17.6937,21.3977,25.5034,29.7849,33.7378,36.7923,38.8118,40.1371,41.3655,42.0393,41.5036,40.0548,38.8866,38.1243,37.2105,36.1568,35.3391,34.6642,34.2278,34.3107,34.7261,34.9028,35.034,36.0065,38.5556,43.038,49.284,56.8251,64.3808,70.6912,74.5171,75.5311,73.722,69.3272,62.3979,53.9424,45.1924,37.0622,29.3669,22.3173,16.2649,11.7146,8.4461,6.17099,4.45551,3.12982,2.09284,1.37212,0.926825,0.749729
0.863949,1.23783,1.68846,2.20188,3.10072,4.46126,6.22804,8.3589,11.0145,14.1633,17.6928,21.462,25.3734,29.3239,33.2165,36.4951,38.7239,40.0389,41.194,41.9933,41.7794,40.588,39.4919,38.6768,37.7591,36.6111,35.6012,34.6618,34.2576,34.6121,35.2127,35.1308,34.8675,35.7008,38.4874,43.2561,49.4251,56.5169,63.7821,70.1779,74.1254,74.9897,72.9879,68.6211,61.9943,53.8982,45.2361,36.9082,29.0037,21.9643,16.0257,11.5933,8.45467,6.27004,4.5197,3.0831,1.99382,1.28185,0.857766,0.702556
0.854041,1.24179,1.70569,2.1942,3.00667,4.2502,5.95118,8.1046,10.8126,13.9784,17.5684,21.3769,25.2151,28.9555,32.7979,36.3365,38.9782,40.4583,41.3912,41.901,41.6538,40.5574,39.45,38.5908,37.8125,36.8004,35.8135,34.8724,34.5713,34.9798,35.541,35.3902,35.0485,35.7956,38.6601,43.5924,49.8064,56.7102,63.9044,70.3737,74.3367,74.9794,72.6855,68.2258,61.7148,53.8622,45.2901,36.8258,28.7974,21.9087,16.2389,11.8213,8.53712,6.24206,4.4841,3.02765,1.93189,1.22339,0.823037,0.677558
0.879917,1.24873,1.71384,2.19792,2.94309,4.14333,5.87431,8.11763,10.8424,13.9028,17.3932,21.2288,25.1551,28.8157,32.4951,36.127,39.2306,41.1008,41.8345,41.7615,41.1592,40.0961,38.9527,37.9309,37.1589,36.48,35.8684,35.1873,34.7944,34.8469,35.1125,35.1224,35.1182,36.0568,38.9438,44.0037,50.46,57.449,64.4905,70.8092,74.8063,75.4874,72.9352,68.0329,61.1983,53.3634,44.9241,36.4672,28.5276,21.9612,16.645,12.1794,8.61952,6.10448,4.3446,2.95366,1.92912,1.25499,0.879941,0.729866
0.955835,1.31447,1.79774,2.31953,3.04061,4.24725,6.05167,8.37567,11.068,14.0132,17.4366,21.387,25.5237,29.2357,32.7137,36.1731,39.3363,41.3811,42.0368,41.6923,40.9525,40.0306,38.8762,37.6763,36.7976,36.3226,35.9049,35.323,34.7891,34.5495,34.4942,34.4752,34.781,36.1355,39.1938,44.2628,50.7976,57.8292,64.5948,70.6552,74.8908,76.0976,73.5982,68.0551,60.5765,52.6176,44.4014,35.9832,28.049,21.6658,16.6546,12.2694,8.6072,5.98223,4.23265,2.90737,1.94568,1.31227,0.963159,0.82847
