seg_th,part_energy(W/m2)
349,23242.798828
350,22665.484375
351,15715.179688
352,15706.625000
353,12351.204102
354,10529.116211
355,9825.819336
356,9300.626953
357,8032.955566
358,9489.072266
359,8360.894531
360,8205.947266
361,6694.949219
362,5827.133301
363,5196.564941

364,8563.397461
365,7252.295898
366,8165.508789
367,10722.588867
368,11345.227539
369,9205.651367
370,9819.383789
371,11627.449219
372,9483.948242
373,10009.282227
374,10990.923828
375,17563.359375
376,16262.449219
377,20185.185547
378,20268.714844
379,27298.363281
380,27474.115234
381,32127.582031
382,35893.582031
383,36037.257812
384,42167.230469
385,44997.906250
386,41564.222656
387,48861.351562
388,49447.910156
389,44186.171875
390,48671.539062
391,50846.773438
392,47099.906250
393,45905.417969
394,41423.761719
395,43209.597656
396,42469.847656
397,32863.808594
398,32297.966797
399,24332.660156
400,22506.441406
401,18723.259766
402,18919.697266
403,14985.199219
404,17911.863281
405,12888.400391
406,9158.890625
407,9660.116211
408,9455.535156
409,9682.483398
410,11861.442383
411,11040.010742
412,6481.912109
413,8356.076172
414,7246.790039
415,6702.815430

416,4512.588379
417,6188.441406
418,8518.884766
419,7359.823242
420,10951.832031
421,6839.857422
422,9842.455078
423,13436.516602
424,8982.343750
425,9299.875000
426,12309.972656
427,14415.756836
428,17903.070312
429,20136.718750
430,21388.171875
431,26029.597656
432,27195.972656
433,31191.626953
434,34864.738281
435,39639.609375
436,43282.179688
437,39447.699219
438,49046.152344
439,47990.214844
440,47725.386719
441,43820.750000
442,48198.281250
443,49024.906250
444,52543.734375
445,47794.683594
446,44579.324219
447,41668.687500
448,32160.210938
449,35828.335938
450,30280.869141
451,27998.242188
452,26047.214844
453,20716.892578
454,18530.529297
455,15972.535156
456,16082.772461
457,13308.850586
458,11650.604492
459,10285.572266
460,9490.838867
461,9822.320312
462,10525.767578
463,11537.240234
464,8295.375977
465,7563.974609
466,6889.598633
467,6859.347656

468,5048.821777
469,6682.248047
470,7332.578613
471,9844.743164
472,9197.389648
473,8497.115234
474,11509.037109
475,9522.186523
476,10819.624023
477,8105.564941
478,12001.188477
479,16878.550781
480,16085.785156
481,17022.605469
482,22207.849609
483,24469.589844
484,29493.835938
485,31419.044922
486,32235.361328
487,39059.980469
488,38619.109375
489,42518.691406
490,45425.605469
491,54298.792969
492,45757.929688
493,50514.718750
494,48348.398438
495,45828.988281
496,45274.925781
497,41649.976562
498,43065.144531
499,48382.179688
500,36916.875000
501,31194.087891
502,27601.667969
503,27264.523438
504,27265.007812
505,17220.166016
506,20346.302734
507,17007.658203
508,15942.929688
509,12992.191406
510,12759.432617
511,10695.156250
512,11022.163086
513,10232.466797
514,10039.697266
515,10029.601562
516,8883.847656
517,6183.805176
518,6724.536621
519,5536.541992

520,7012.059570
521,7175.126953
522,7383.703125
523,9248.632812
524,9506.947266
525,8527.132812
526,12357.118164
527,11170.525391
528,11775.881836
529,9167.439453
530,10080.295898
531,16058.186523
532,14993.188477
533,21509.394531
534,21779.134766
535,24089.888672
536,27744.056641
537,29220.000000
538,36796.753906
539,35127.097656
540,43071.289062
541,46021.968750
542,46774.910156
543,50380.160156
544,50716.390625
545,44244.113281
546,49508.859375
547,46708.148438
548,45672.964844
549,43562.785156
550,43287.980469
551,43650.441406
552,35051.671875
553,31088.785156
554,30681.863281
555,26977.783203
556,19586.773438
557,24774.224609
558,21608.275391
559,18875.589844
560,13868.956055
561,12346.517578
562,7685.916992
563,9612.480469
564,10653.729492
565,7041.600098
566,8354.413086
567,8499.518555
568,8725.875000
569,8051.147949
570,7722.226074
571,5511.544922

572,5183.249512
573,6513.239258
574,6389.818359
575,8013.648926
576,10510.180664
577,10930.401367
578,11136.857422
579,10141.995117
580,12777.370117
581,10152.408203
582,12351.958008
583,16707.177734
584,17606.564453
585,19259.421875
586,21071.427734
587,24243.179688
588,27183.304688
589,29731.099609
590,35729.195312
591,39837.457031
592,38216.816406
593,47350.687500
594,46836.816406
595,48971.847656
596,48081.277344
597,42422.277344
598,49273.074219
599,51661.703125
600,49898.558594
601,41659.785156
602,43871.796875
603,40061.328125
604,37612.625000
605,36621.300781
606,34698.816406
607,24019.359375
608,25118.728516
609,21725.685547
610,21296.462891
611,15500.241211
612,15941.487305
613,12004.840820
614,10319.250977
615,10119.402344
616,8476.583984
617,7491.210449
618,10160.113281
619,9698.081055
620,10759.265625
621,8846.478516
622,8207.382812
623,6026.231445

624,7034.922363
625,7723.456055
626,7329.464844
627,9393.904297
628,7845.145996
629,7850.824219
630,9137.003906
631,9688.515625
632,12476.556641
633,11451.159180
634,13110.356445
635,14304.173828
636,18571.203125
637,19880.638672
638,21183.542969
639,24936.570312
640,31070.621094
641,30346.480469
642,32165.785156
643,35196.777344
644,43620.515625
645,44617.871094
646,43653.792969
647,47530.589844
648,49017.707031
649,47487.718750
650,48946.699219
651,48106.460938
652,51569.570312
653,44960.671875
654,42514.406250
655,34083.527344
656,42153.503906
657,32195.740234
658,33445.390625
659,29124.531250
660,23943.392578
661,18689.341797
662,19301.328125
663,15693.003906
664,15523.777344
665,15050.281250
666,9977.148438
667,12283.358398
668,8975.001953
669,7631.845703
670,8501.196289
671,8707.840820
672,9740.585938
673,7798.691895
674,5724.339844
675,6745.372559

676,6742.171875
677,6858.373047
678,7108.000977
679,8559.960938
680,9503.149414
681,8969.958984
682,9362.435547
683,10552.613281
684,7333.930664
685,10597.208008
686,13349.008789
687,14425.657227
688,16820.898438
689,17680.458984
690,19468.605469
691,26525.589844
692,31823.789062
693,35222.097656
694,32012.019531
695,36006.175781
696,38121.746094
697,43985.898438
698,44089.074219
699,46323.128906
700,48560.640625
701,48080.292969
702,51983.523438
703,52491.324219
704,45657.718750
705,44732.035156
706,42893.402344
707,39146.367188
708,43561.828125
709,30973.476562
710,30719.947266
711,23911.796875
712,27327.791016
713,21592.324219
714,20704.414062
715,16838.136719
716,14550.855469
717,13850.129883
718,11210.972656
719,9161.781250
720,10451.058594
721,8599.687500
722,9361.165039
723,9673.104492
724,9588.625000
725,5839.605469
726,6182.553223
727,6702.888672

728,4501.218750
729,6236.146973
730,7019.913086
731,8847.208008
732,9729.808594
733,8619.168945
734,10193.401367
735,10341.573242
736,10981.049805
737,12776.772461
738,9470.795898
739,14309.011719
740,15639.186523
741,18590.546875
742,22732.238281
743,24483.642578
744,28528.554688
745,33871.910156
746,38228.222656
747,34083.945312
748,37788.722656
749,41780.601562
750,43343.988281
751,44296.324219
752,48881.316406
753,49372.996094
754,49174.101562
755,48450.250000
756,41384.273438
757,42995.878906
758,43778.386719
759,45302.707031
760,40612.835938
761,34552.085938
762,33789.664062
763,28013.425781
764,26801.488281
765,20109.660156
766,19408.011719
767,15714.604492
768,14065.799805
769,11831.340820
770,7956.301270
771,11170.403320
772,10651.018555
773,7825.019531
774,9202.809570
775,7670.955078
776,11165.673828
777,6720.288574
778,6582.006836
779,6896.586426

780,8042.095215
781,7369.154785
782,8211.357422
783,9510.216797
784,9000.056641
785,9508.541016
786,9830.050781
787,9804.702148
788,10145.056641
789,9302.999023
790,16312.966797
791,15176.380859
792,15137.469727
793,21086.308594
794,22031.886719
795,25351.175781
796,29656.404297
797,31866.533203
798,32841.089844
799,38360.332031
800,42092.453125
801,42195.300781
802,47326.539062
803,49202.683594
804,51483.878906
805,47115.457031
806,40663.246094
807,44170.996094
808,43350.988281
809,45959.031250
810,49036.558594
811,44681.289062
812,32589.509766
813,35459.175781
814,28912.435547
815,27619.654297
816,23439.462891
817,23244.962891
818,18092.562500
819,15724.447266
820,15397.769531
821,11199.952148
822,10359.798828
823,10131.802734
824,8485.143555
825,6006.528809
826,8524.549805
827,8861.666992
828,7672.541992
829,5386.636719
830,6904.103516
831,6732.427246

832,7597.644531
833,6882.683594
834,5497.959473
835,7818.081055
836,9502.470703
837,9836.955078
838,9489.373047
839,13607.227539
840,9488.826172
841,12720.736328
842,11918.358398
843,16892.921875
844,20825.359375
845,20255.595703
846,20038.808594
847,23933.324219
848,24639.400391
849,34342.699219
850,34895.367188
851,40629.660156
852,40674.375000
853,44610.121094
854,50548.105469
855,45908.683594
856,47568.363281
857,49193.945312
858,46630.542969
859,47035.792969
860,46003.339844
861,47020.429688
862,43123.644531
863,44579.546875
864,36265.804688
865,33032.847656
866,31983.693359
867,27519.097656
868,27638.236328
869,21003.171875
870,16007.570312
871,18076.099609
872,13428.492188
873,13679.078125
874,11690.553711
875,10835.841797
876,13518.900391
877,12514.548828
878,9897.914062
879,9538.192383
880,10431.373047
881,8207.218750
882,7703.539551
883,7780.273438

884,5874.284180
885,6209.811523
886,8048.920410
887,8856.725586
888,11540.314453
889,7707.271973
890,8999.142578
891,9332.458008
892,9981.376953
893,10175.921875
894,13598.457031
895,14604.287109
896,18266.195312
897,21375.279297
898,23477.972656
899,23631.548828
900,27526.275391
901,35632.277344
902,29899.791016
903,36906.136719
904,46170.355469
905,41281.164062
906,44784.031250
907,47336.199219
908,44810.406250
909,45507.429688
910,52583.179688
911,43924.562500
912,47951.046875
913,43806.339844
914,45906.699219
915,41433.343750
916,35724.207031
917,34151.222656
918,32040.054688
919,28036.996094
920,25443.003906
921,21098.777344
922,20089.533203
923,16323.091797
924,16665.087891
925,11177.320312
926,13150.034180
927,10889.608398
928,12997.973633
929,8666.149414
930,11539.813477
931,11530.978516
932,9025.713867
933,7038.151367
934,5330.722656
935,5010.412109

936,6169.681152
937,5677.657715
938,7359.579102
939,9228.319336
940,7878.293457
941,6645.918945
942,10661.782227
943,11206.712891
944,8882.311523
945,9363.147461
946,16113.037109
947,15731.707031
948,16755.617188
949,20385.423828
950,21258.625000
951,24081.308594
952,27012.646484
953,33066.187500
954,37818.750000
955,38106.425781
956,40213.890625
957,40799.742188
958,45141.867188
959,50351.734375
960,47890.835938
961,46475.929688
962,50626.929688
963,47640.765625
964,43912.031250
965,50152.246094
966,43643.925781
967,39506.113281
968,34339.886719
969,36504.851562
970,30501.695312
971,29836.529297
972,22189.820312
973,21098.912109
974,15122.996094
975,15515.980469
976,14211.742188
977,15526.382812
978,10039.843750
979,13135.486328
980,10735.189453
981,8652.265625
982,9182.577148
983,9674.742188
984,9202.644531
985,6052.820801
986,7012.521484
987,6322.510742

988,6684.884766
989,5505.223145
990,6394.511719
991,7716.950195
992,9025.906250
993,8858.264648
994,9508.426758
995,11972.491211
996,10597.278320
997,12174.487305
998,15623.877930
999,15577.637695
1000,15920.710938
1001,18643.777344
1002,21013.830078
1003,26210.435547
1004,25619.308594
1005,30970.785156
1006,36496.984375
1007,43253.863281
1008,40551.382812
1009,44320.417969
1010,49062.171875
1011,48143.816406
1012,49978.140625
1013,50624.910156
1014,47602.261719
1015,49529.019531
1016,45229.292969
1017,48980.882812
1018,45565.726562
1019,41690.144531
1020,40942.785156
1021,35496.382812
1022,33280.742188
1023,28383.238281
1024,25778.990234
1025,17285.904297
1026,16690.250000
1027,14888.000000
1028,17479.560547
1029,12985.408203
1030,8844.197266
1031,11311.618164
1032,10202.004883
1033,9608.474609
1034,7848.592285
1035,8351.733398
1036,8445.111328
1037,6873.463379
1038,7827.417969
1039,5677.635254

1040,6541.331543
1041,5196.319336
1042,8555.743164
1043,10044.491211
