seg_th,part_energy(W/m2)
288,42067.910156
289,40775.546875
290,39053.656250
291,36932.457031
292,34474.074219
293,31778.492188
294,28969.511719
295,26167.373047
296,23468.748047
297,20944.615234
298,18636.080078
299,16565.585938
300,14746.320312
301,13185.585938
302,11886.477539
303,10833.842773
304,9994.177734
305,9317.527344
306,8752.576172
307,8261.906250
308,7834.399414
309,7489.212891
310,7259.075684
311,7178.054199

312,7472.797852
313,7560.857910
314,7810.241211
315,8179.504883
316,8629.392578
317,9137.973633
318,9716.084961
319,10406.125000
320,11263.970703
321,12346.439453
322,13687.119141
323,15300.214844
324,17179.218750
325,19306.908203
326,21660.810547
327,24207.878906
328,26900.218750
329,29679.474609
330,32467.603516
331,35168.757812
332,37676.761719
333,39888.078125
334,41718.890625
335,43103.871094
336,44015.285156
337,44454.070312
338,44437.339844
339,43979.863281
340,43082.035156
341,41744.597656
342,39969.316406
343,37789.937500
344,35272.066406
345,32518.033203
346,29654.046875
347,26800.730469
348,24054.035156
349,21484.878906
350,19132.927734
351,17019.794922
352,15158.411133
353,13557.906250
354,12223.381836
355,11141.727539
356,10279.996094
357,9588.240234
358,9012.892578
359,8514.735352
360,8080.445801
361,7729.541504
362,7495.284180
363,7412.667480

364,7609.883301
365,7698.346680
366,7949.376953
367,8322.556641
368,8779.168945
369,9297.293945
370,9887.050781
371,10590.605469
372,11464.773438
373,12567.613281
374,13935.685547
375,15584.409180
376,17507.414062
377,19685.228516
378,22092.687500
379,24693.208984
380,27436.099609
381,30263.005859
382,33095.246094
383,35837.292969
384,38381.914062
385,40624.925781
386,42480.976562
387,43883.441406
388,44803.769531
389,45242.312500
390,45214.722656
391,44735.503906
392,43805.898438
393,42429.191406
394,40611.191406
395,38389.605469
396,35833.070312
397,33044.460938
398,30149.931641
399,27268.314453
400,24493.367188
401,21895.265625
402,19512.492188
403,17366.439453
404,15470.211914
405,13835.248047
406,12469.002930
407,11361.016602
408,10479.768555
409,9776.445312
410,9195.898438
411,8697.130859
412,8263.879883
413,7914.554199
414,7681.402344
415,7599.060547

416,7708.060059
417,7796.435059
418,8047.630371
419,8422.846680
420,8884.025391
421,9409.228516
422,10007.430664
423,10720.099609
424,11604.514648
425,12719.900391
426,14106.052734
427,15780.082031
428,17736.164062
429,19952.525391
430,22400.935547
431,25040.949219
432,27818.867188
433,30676.056641
434,33533.621094
435,36297.437500
436,38860.660156
437,41119.996094
438,42989.410156
439,44401.609375
440,45326.722656
441,45763.574219
442,45725.425781
443,45226.457031
444,44269.480469
445,42861.355469
446,41012.820312
447,38765.429688
448,36189.933594
449,33387.789062
450,30482.738281
451,27590.289062
452,24801.253906
453,22185.072266
454,19779.810547
455,17607.669922
456,15682.455078
457,14018.181641
458,12624.451172
459,11493.588867
460,10595.823242
461,9884.295898
462,9302.880859
463,8808.984375
464,8383.018555
465,8041.108887
466,7813.266113
467,7732.707520

468,7770.762207
469,7858.591309
470,8108.642578
471,8484.192383
472,8948.191406
473,9478.934570
474,10084.263672
475,10804.586914
476,11697.000000
477,12821.218750
478,14219.780273
479,15911.584961
480,17891.746094
481,20136.574219
482,22614.832031
483,25282.222656
484,28081.896484
485,30954.412109
486,33821.109375
