seg_th,part_energy(W/m2)
654,45508.179688
655,43381.765625
656,40930.539062
657,38175.558594
658,35132.804688
659,31832.250000
660,28316.294922
661,24656.947266
662,20955.134766
663,17328.251953
664,13901.955078
665,10787.191406
666,8066.977051
667,5791.012207
668,3971.489258
669,2588.539551
670,1595.031860
671,922.465271
672,499.850433
673,254.589401
674,131.177963
675,94.036446

676,99.108147
677,136.849792
678,261.465881
679,508.178101
680,932.011658
681,1602.244385
682,2590.688721
683,3964.597412
684,5773.531250
685,8035.457031
686,10740.305664
687,13839.307617
688,17252.019531
689,20875.992188
690,24591.201172
691,28285.455078
692,31856.634766
693,35231.718750
694,38360.285156
695,41209.019531
696,43752.945312
697,45958.593750
698,47781.820312
699,49173.890625
700,50091.382812
701,50510.003906
702,50427.257812
703,49861.558594
704,48850.472656
705,47424.691406
706,45622.875000
707,43474.300781
708,41003.808594
709,38235.097656
710,35185.550781
711,31884.089844
712,28369.890625
713,24711.644531
714,21006.736328
715,17372.599609
716,13936.094727
717,10810.069336
718,8080.144531
719,5797.108887
720,3973.640381
721,2588.903320
722,1594.883789
723,922.442383
724,500.061584
725,254.878952
726,131.593994
727,94.235756

728,100.131485
729,138.226852
730,263.931885
731,512.513733
732,939.138672
733,1612.815918
734,2604.866943
735,3981.206543
736,5791.479492
737,8053.122070
738,10756.957031
739,13854.905273
740,17266.816406
741,20890.632812
742,24606.310547
743,28301.732422
744,31875.619141
745,35256.187500
746,38393.152344
747,41254.640625
748,43815.085938
749,46040.339844
750,47885.761719
751,49300.207031
752,50237.882812
753,50670.644531
754,50593.507812
755,50022.398438
756,48995.125000
757,47544.179688
758,45712.535156
759,43534.277344
760,41038.914062
761,38253.019531
762,35195.074219
763,31892.169922
764,28380.367188
765,24725.265625
766,21020.908203
767,17384.656250
768,13943.955078
769,10812.823242
770,8078.853027
771,5793.476074
772,3969.744385
773,2585.744873
774,1592.802490
775,921.449219
776,499.738403
777,254.859726
778,131.825256
779,94.327499

780,100.567520
781,138.891571
782,265.154694
783,514.828125
784,943.142822
785,1619.022827
786,2613.693359
787,3992.305664
788,5804.980957
789,8068.915527
790,10775.333008
791,13875.782227
792,17288.992188
793,20912.140625
794,24624.523438
795,28314.187500
796,31882.255859
797,35259.816406
798,38398.636719
799,41269.125000
800,43845.175781
801,46091.347656
802,47961.332031
803,49401.187500
804,50362.269531
805,50812.304688
806,50743.304688
807,50167.914062
808,49123.429688
809,47644.636719
810,45779.515625
811,43568.160156
812,41045.335938
813,38240.941406
814,35174.429688
815,31870.615234
816,28362.687500
817,24713.193359
818,21012.908203
819,17378.753906
820,13938.207031
821,10805.989258
822,8071.299805
823,5786.105469
824,3963.843018
825,2581.611328
826,1590.298828
827,920.304321
828,499.307495
829,254.762451
830,131.983887
831,94.427971

832,100.506760
833,138.922607
834,265.219727
835,515.174194
836,944.051453
837,1620.896851
838,2617.292969
839,3998.319580
840,5814.983887
841,8084.540039
842,10798.091797
843,13905.755859
844,17323.851562
845,20947.667969
846,24655.193359
847,28334.585938
848,31890.468750
849,35257.906250
850,38392.121094
851,41266.277344
852,43853.914062
853,46117.976562
854,48009.929688
855,49473.328125
856,50456.812500
857,50924.394531
858,50864.832031
859,50286.968750
860,49226.902344
861,47721.621094
862,45824.335938
863,43581.570312
864,41033.367188
865,38212.945312
866,35140.359375
867,31837.634766
868,28335.482422
869,24693.503906
870,20999.601562
871,17370.021484
872,13931.947266
873,10800.505859
874,8066.183105
875,5781.569824
876,3960.514160
877,2579.453125
878,1589.110596
879,919.899475
880,499.188446
881,254.754318
882,132.111832
883,94.563530

884,100.229965
885,138.647934
886,264.634399
887,514.295959
888,942.924194
889,1619.848511
890,2617.368896
891,4001.097656
892,5823.184570
893,8101.171875
894,10825.641602
895,13944.488281
896,17370.898438
897,20997.517578
898,24700.623047
899,28368.312500
900,31909.166016
901,35262.421875
902,38387.359375
903,41259.886719
904,43853.347656
905,46129.386719
906,48037.394531
907,49519.273438
908,50521.542969
909,51005.164062
910,50955.394531
911,50376.945312
912,49304.058594
913,47775.703125
914,45850.285156
915,43580.648438
916,41011.878906
917,38180.183594
918,35105.535156
919,31806.748047
920,28312.312500
921,24679.054688
922,20992.552734
923,17368.263672
924,13933.021484
925,10802.304688
926,8067.644531
927,5782.452637
928,3961.054932
929,2579.708008
930,1589.171265
931,919.937012
932,499.067047
933,254.576767
934,132.006332
935,94.548172

936,100.053909
937,138.442535
938,263.988708
939,513.055847
940,940.939270
941,1617.303711
942,2615.306152
943,4001.467285
944,5829.205078
945,8116.590820
946,10853.554688
947,13985.477539
948,17422.398438
949,21053.957031
950,24754.695312
951,28412.544922
952,31939.839844
953,35279.410156
954,38394.265625
955,41262.378906
956,43856.917969
957,46138.777344
958,48056.023438
959,49550.105469
960,50566.300781
961,51063.007812
962,51021.714844
963,50442.781250
964,49358.390625
965,47809.738281
966,45860.531250
967,43569.746094
968,40987.085938
969,38150.726562
970,35079.449219
971,31788.228516
972,28303.373047
973,24679.132812
974,20999.562500
975,17379.574219
976,13945.726562
977,10814.041016
978,8076.945312
979,5788.904785
980,3964.857666
981,2581.399658
982,1589.436401
983,919.496643
984,498.245117
985,253.748550
986,131.328720
987,94.067276

988,100.105698
989,138.470718
990,263.610565
991,511.983734
992,938.868896
993,1614.208008
994,2611.897217
995,3999.411133
996,5831.297852
997,8126.347656
998,10873.898438
999,14017.182617
1000,17463.939453
1001,21101.046875
1002,24801.769531
1003,28453.783203
1004,31972.316406
1005,35302.582031
1006,38410.234375
1007,41274.425781
1008,43868.140625
1009,46152.316406
1010,48074.621094
1011,49576.902344
1012,50603.515625
1013,51110.460938
1014,51074.953125
1015,50493.304688
1016,49396.093750
1017,47827.683594
1018,45857.449219
1019,43550.367188
1020,40960.277344
1021,38125.828125
1022,35063.449219
1023,31783.701172
1024,28310.601562
1025,24696.087891
1026,21023.273438
1027,17406.742188
1028,13972.778320
1029,10838.102539
1030,8095.956543
1031,5802.169922
1032,3972.615479
1033,2584.850586
1034,1589.988037
1035,918.559631
1036,496.676025
1037,252.238113
1038,130.052643
1039,93.055161

1040,100.614304
1041,139.018539
1042,264.030914
1043,511.990784
1044,938.114685
1045,1612.425171
1046,2609.193115
1047,3996.562012
1048,5829.810547
1049,8128.638672
1050,10882.036133
1051,14032.033203
1052,17485.509766
1053,21127.332031
1054,24830.240234
1055,28481.552734
1056,31998.062500
1057,35325.785156
1058,38431.406250
1059,41294.363281
1060,43887.425781
1061,46172.472656
1062,48097.816406
1063,49606.171875
1064,50641.054688
1065,51155.843750
1066,51123.109375
1067,50535.718750
1068,49423.515625
1069,47835.171875
1070,45845.921875
1071,43526.367188
1072,40933.871094
1073,38106.191406
1074,35056.613281
1075,31791.226562
1076,28331.714844
1077,24727.984375
1078,21062.335938
1079,17448.988281
1080,14013.733398
1081,10874.096680
1082,8124.224609
1083,5821.723633
1084,3983.883057
1085,2589.783447
1086,1590.722412
1087,917.177185
1088,494.469940
1089,250.188812
1090,128.311310
1091,91.591911

1092,101.636803
1093,140.162781
1094,265.459869
1095,513.528198
1096,939.478149
1097,1613.068726
1098,2608.451660
1099,3993.883789
1100,5824.725586
1101,8121.767090
1102,10873.885742
1103,14023.322266
1104,17477.910156
1105,21121.677734
1106,24827.837891
1107,28483.277344
1108,32004.892578
1109,35337.933594
1110,38448.421875
1111,41315.402344
1112,43911.406250
1113,46199.734375
1114,48129.867188
1115,49645.179688
1116,50688.078125
1117,51209.003906
1118,51175.980469
1119,50579.636719
1120,49450.011719
1121,47841.328125
1122,45834.300781
1123,43504.640625
1124,40912.644531
1125,38094.074219
1126,35058.992188
1127,31809.417969
1128,28364.746094
1129,24773.031250
1130,21115.451172
1131,17505.500000
1132,14068.147461
1133,10921.708008
1134,8161.500488
1135,5847.391113
1136,3998.664551
1137,2596.375000
1138,1591.958862
1139,915.748718
1140,492.026672
1141,247.952164
1142,126.391777
1143,89.906792

1144,103.162804
1145,141.902130
1146,267.964111
1147,516.827332
1148,943.440002
1149,1616.866211
1150,2610.625000
1151,3992.398193
1152,5816.901367
1153,8106.205078
1154,10849.415039
1155,13990.583984
1156,17440.296875
1157,21083.138672
1158,24793.662109
1159,28458.074219
1160,31991.750000
1161,35337.613281
1162,38459.457031
1163,41335.304688
1164,43937.769531
1165,46231.828125
1166,48168.718750
1167,49692.167969
1168,50743.281250
1169,51269.531250
1170,51235.039062
1171,50629.339844
1172,49483.281250
1173,47856.851562
1174,45834.878906
1175,43497.136719
1176,40906.027344
1177,38095.050781
1178,35072.011719
1179,31836.226562
1180,28405.310547
1181,24825.814453
1182,21177.142578
1183,17571.289062
1184,14131.891602
1185,10977.689453
1186,8205.463867
1187,5877.749023
1188,4016.332031
1189,2604.552979
1190,1593.975098
1191,914.700256
1192,489.791870
1193,245.906677
1194,124.595436
1195,88.259064

1196,105.100105
1197,144.144241
1198,271.461029
1199,521.919617
1200,950.260071
1201,1624.420166
1202,2616.859619
1203,3993.971191
1204,5809.030762
1205,8085.474609
1206,10812.910156
1207,13938.670898
1208,17377.546875
1209,21016.054688
1210,24730.724609
1211,28406.728516
1212,31956.484375
1213,35319.433594
1214,38456.082031
1215,41343.320312
1216,43954.425781
1217,46256.156250
1218,48201.910156
1219,49735.328125
1220,50796.066406
1221,51328.730469
1222,51294.472656
1223,50682.648438
1224,49524.796875
1225,47885.964844
1226,45853.082031
1227,43508.695312
1228,40916.535156
1229,38108.394531
1230,35091.542969
1231,31864.443359
1232,28443.835938
1233,24875.185547
1234,21235.623047
1235,17634.826172
1236,14194.610352
1237,11033.480469
1238,8249.746094
1239,5908.647949
1240,4034.635010
1241,2613.392822
1242,1596.669189
1243,914.317505
1244,488.178650
1245,244.403122
1246,123.217720
1247,86.939125

1248,107.076332
1249,146.456024
1250,275.277344
1251,527.826416
1252,958.596802
1253,1634.103638
1254,2625.499756
1255,3997.378418
1256,5800.961426
1257,8061.042480
1258,10767.954102
1259,13873.295898
1260,17296.814453
1261,20928.015625
1262,24645.634766
1263,28333.492188
1264,31900.119141
1265,35280.843750
1266,38432.832031
1267,41332.023438
1268,43953.128906
1269,46264.617188
1270,48221.984375
1271,49768.074219
1272,50840.691406
1273,51381.820312
1274,51350.726562
1275,50737.261719
1276,49573.339844
1277,47927.804688
1278,45887.808594
1279,43537.277344
1280,40940.640625
